SOURCE,keyword,count
JT_SNS_KWRD_STATS_LIST_202206,맛집,2531
JT_SNS_KWRD_STATS_LIST_202206,카페,2053
JT_SNS_KWRD_STATS_LIST_202206,여행,1813
JT_SNS_KWRD_STATS_LIST_202206,추천,765
JT_SNS_KWRD_STATS_LIST_202206,서귀포,718
JT_SNS_KWRD_STATS_LIST_202206,오름,440
JT_SNS_KWRD_STATS_LIST_202206,캠핑,423
JT_SNS_KWRD_STATS_LIST_202206,애월,412
JT_SNS_KWRD_STATS_LIST_202206,수국,403
JT_SNS_KWRD_STATS_LIST_202206,그램,385
JT_SNS_KWRD_STATS_LIST_202206,돼지,370
JT_SNS_KWRD_STATS_LIST_202206,코스,348
JT_SNS_KWRD_STATS_LIST_202206,스타,322
JT_SNS_KWRD_STATS_LIST_202206,중문,318
JT_SNS_KWRD_STATS_LIST_202206,해수욕장,309
JT_SNS_KWRD_STATS_LIST_202206,아이,307
JT_SNS_KWRD_STATS_LIST_202206,성산,306
JT_SNS_KWRD_STATS_LIST_202206,해변,291
JT_SNS_KWRD_STATS_LIST_202206,호텔,286
JT_SNS_KWRD_STATS_LIST_202206,산방산,285
JT_SNS_KWRD_STATS_LIST_202206,일상,243
JT_SNS_KWRD_STATS_LIST_202206,사진,241
JT_SNS_KWRD_STATS_LIST_202206,동쪽,240
JT_SNS_KWRD_STATS_LIST_202206,성산일출봉,236
JT_SNS_KWRD_STATS_LIST_202206,함덕,229
JT_SNS_KWRD_STATS_LIST_202206,가족,220
JT_SNS_KWRD_STATS_LIST_202206,투어,210
JT_SNS_KWRD_STATS_LIST_202206,공항,207
JT_SNS_KWRD_STATS_LIST_202206,관광,204
JT_SNS_KWRD_STATS_LIST_202206,숙소,202
JT_SNS_KWRD_STATS_LIST_202206,갈치,200
JT_SNS_KWRD_STATS_LIST_202206,바다,192
JT_SNS_KWRD_STATS_LIST_202206,스누피,192
JT_SNS_KWRD_STATS_LIST_202206,근처,188
JT_SNS_KWRD_STATS_LIST_202206,가든,176
JT_SNS_KWRD_STATS_LIST_202206,관광지,175
JT_SNS_KWRD_STATS_LIST_202206,파크,174
JT_SNS_KWRD_STATS_LIST_202206,살이,170
JT_SNS_KWRD_STATS_LIST_202206,체험,169
JT_SNS_KWRD_STATS_LIST_202206,시장,167
JT_SNS_KWRD_STATS_LIST_202206,명소,166
JT_SNS_KWRD_STATS_LIST_202206,아기,166
JT_SNS_KWRD_STATS_LIST_202206,비자림,162
JT_SNS_KWRD_STATS_LIST_202206,도로,161
JT_SNS_KWRD_STATS_LIST_202206,살기,161
JT_SNS_KWRD_STATS_LIST_202206,서쪽,160
JT_SNS_KWRD_STATS_LIST_202206,제주시,158
JT_SNS_KWRD_STATS_LIST_202206,식당,157
JT_SNS_KWRD_STATS_LIST_202206,해안,156
JT_SNS_KWRD_STATS_LIST_202206,한림,152
JT_SNS_KWRD_STATS_LIST_202212,맛집,2668
JT_SNS_KWRD_STATS_LIST_202212,여행,1901
JT_SNS_KWRD_STATS_LIST_202212,카페,1850
JT_SNS_KWRD_STATS_LIST_202212,서귀포,985
JT_SNS_KWRD_STATS_LIST_202212,추천,903
JT_SNS_KWRD_STATS_LIST_202212,애월,494
JT_SNS_KWRD_STATS_LIST_202212,겨울,471
JT_SNS_KWRD_STATS_LIST_202212,오름,421
JT_SNS_KWRD_STATS_LIST_202212,돼지,396
JT_SNS_KWRD_STATS_LIST_202212,코스,375
JT_SNS_KWRD_STATS_LIST_202212,캠핑,346
JT_SNS_KWRD_STATS_LIST_202212,그램,338
JT_SNS_KWRD_STATS_LIST_202212,성산,290
JT_SNS_KWRD_STATS_LIST_202212,숙소,290
JT_SNS_KWRD_STATS_LIST_202212,체험,274
JT_SNS_KWRD_STATS_LIST_202212,스타,271
JT_SNS_KWRD_STATS_LIST_202212,산방산,263
JT_SNS_KWRD_STATS_LIST_202212,해변,261
JT_SNS_KWRD_STATS_LIST_202212,갈치,258
JT_SNS_KWRD_STATS_LIST_202212,호텔,247
JT_SNS_KWRD_STATS_LIST_202212,공항,238
JT_SNS_KWRD_STATS_LIST_202212,근처,230
JT_SNS_KWRD_STATS_LIST_202212,중문,228
JT_SNS_KWRD_STATS_LIST_202212,데이트,226
JT_SNS_KWRD_STATS_LIST_202212,펜션,223
JT_SNS_KWRD_STATS_LIST_202212,일상,222
JT_SNS_KWRD_STATS_LIST_202212,가족,221
JT_SNS_KWRD_STATS_LIST_202212,해수욕장,220
JT_SNS_KWRD_STATS_LIST_202212,바다,210
JT_SNS_KWRD_STATS_LIST_202212,시장,206
JT_SNS_KWRD_STATS_LIST_202212,관광,202
JT_SNS_KWRD_STATS_LIST_202212,성산일출봉,201
JT_SNS_KWRD_STATS_LIST_202212,아이,199
JT_SNS_KWRD_STATS_LIST_202212,사진,195
JT_SNS_KWRD_STATS_LIST_202212,스누피,191
JT_SNS_KWRD_STATS_LIST_202212,동쪽,190
JT_SNS_KWRD_STATS_LIST_202212,제주시,188
JT_SNS_KWRD_STATS_LIST_202212,투어,187
JT_SNS_KWRD_STATS_LIST_202212,감귤,185
JT_SNS_KWRD_STATS_LIST_202212,여행지,169
JT_SNS_KWRD_STATS_LIST_202212,함덕,163
JT_SNS_KWRD_STATS_LIST_202212,가든,160
JT_SNS_KWRD_STATS_LIST_202212,커피,157
JT_SNS_KWRD_STATS_LIST_202212,조림,155
JT_SNS_KWRD_STATS_LIST_202212,파크,154
JT_SNS_KWRD_STATS_LIST_202212,서쪽,152
JT_SNS_KWRD_STATS_LIST_202212,올레,149
JT_SNS_KWRD_STATS_LIST_202212,관광지,147
JT_SNS_KWRD_STATS_LIST_202212,크리스마스,147
JT_SNS_KWRD_STATS_LIST_202212,도로,144
JT_SNS_KWRD_STATS_LIST_202306,맛집,3427
JT_SNS_KWRD_STATS_LIST_202306,여행,2373
JT_SNS_KWRD_STATS_LIST_202306,카페,1968
JT_SNS_KWRD_STATS_LIST_202306,추천,1303
JT_SNS_KWRD_STATS_LIST_202306,서귀포,1127
JT_SNS_KWRD_STATS_LIST_202306,오름,735
JT_SNS_KWRD_STATS_LIST_202306,캠핑,630
JT_SNS_KWRD_STATS_LIST_202306,애월,578
JT_SNS_KWRD_STATS_LIST_202306,돼지,538
JT_SNS_KWRD_STATS_LIST_202306,그램,514
JT_SNS_KWRD_STATS_LIST_202306,코스,475
JT_SNS_KWRD_STATS_LIST_202306,스타,417
JT_SNS_KWRD_STATS_LIST_202306,중문,408
JT_SNS_KWRD_STATS_LIST_202306,해변,402
JT_SNS_KWRD_STATS_LIST_202306,산방산,383
JT_SNS_KWRD_STATS_LIST_202306,성산,370
JT_SNS_KWRD_STATS_LIST_202306,해수욕장,366
JT_SNS_KWRD_STATS_LIST_202306,갈치,330
JT_SNS_KWRD_STATS_LIST_202306,일상,328
JT_SNS_KWRD_STATS_LIST_202306,숙소,309
JT_SNS_KWRD_STATS_LIST_202306,근처,296
JT_SNS_KWRD_STATS_LIST_202306,유채꽃,291
JT_SNS_KWRD_STATS_LIST_202306,가족,290
JT_SNS_KWRD_STATS_LIST_202306,공항,289
JT_SNS_KWRD_STATS_LIST_202306,사진,273
JT_SNS_KWRD_STATS_LIST_202306,성산일출봉,271
JT_SNS_KWRD_STATS_LIST_202306,아이,270
JT_SNS_KWRD_STATS_LIST_202306,함덕,264
JT_SNS_KWRD_STATS_LIST_202306,겨울,257
JT_SNS_KWRD_STATS_LIST_202306,데이트,256
JT_SNS_KWRD_STATS_LIST_202306,바다,255
JT_SNS_KWRD_STATS_LIST_202306,시장,254
JT_SNS_KWRD_STATS_LIST_202306,관광,238
JT_SNS_KWRD_STATS_LIST_202306,호텔,233
JT_SNS_KWRD_STATS_LIST_202306,제주시,230
JT_SNS_KWRD_STATS_LIST_202306,동쪽,229
JT_SNS_KWRD_STATS_LIST_202306,체험,225
JT_SNS_KWRD_STATS_LIST_202306,여행지,222
JT_SNS_KWRD_STATS_LIST_202306,펜션,216
JT_SNS_KWRD_STATS_LIST_202306,도로,207
JT_SNS_KWRD_STATS_LIST_202306,관광지,205
JT_SNS_KWRD_STATS_LIST_202306,투어,200
JT_SNS_KWRD_STATS_LIST_202306,스누피,200
JT_SNS_KWRD_STATS_LIST_202306,파크,199
JT_SNS_KWRD_STATS_LIST_202306,서쪽,199
JT_SNS_KWRD_STATS_LIST_202306,올레,189
JT_SNS_KWRD_STATS_LIST_202306,해안,188
JT_SNS_KWRD_STATS_LIST_202306,조림,186
JT_SNS_KWRD_STATS_LIST_202306,우도,184
JT_SNS_KWRD_STATS_LIST_202306,한림,183
JT_SNS_KWRD_STATS_LIST_202312,맛집,3253
JT_SNS_KWRD_STATS_LIST_202312,여행,2045
JT_SNS_KWRD_STATS_LIST_202312,카페,1889
JT_SNS_KWRD_STATS_LIST_202312,추천,1165
JT_SNS_KWRD_STATS_LIST_202312,서귀포,1010
JT_SNS_KWRD_STATS_LIST_202312,오름,539
JT_SNS_KWRD_STATS_LIST_202312,애월,538
JT_SNS_KWRD_STATS_LIST_202312,돼지,532
JT_SNS_KWRD_STATS_LIST_202312,캠핑,459
JT_SNS_KWRD_STATS_LIST_202312,코스,440
JT_SNS_KWRD_STATS_LIST_202312,그램,413
JT_SNS_KWRD_STATS_LIST_202312,해수욕장,410
JT_SNS_KWRD_STATS_LIST_202312,중문,375
JT_SNS_KWRD_STATS_LIST_202312,해변,340
JT_SNS_KWRD_STATS_LIST_202312,갈치,331
JT_SNS_KWRD_STATS_LIST_202312,스타,328
JT_SNS_KWRD_STATS_LIST_202312,아이,312
JT_SNS_KWRD_STATS_LIST_202312,숙소,311
JT_SNS_KWRD_STATS_LIST_202312,산방산,299
JT_SNS_KWRD_STATS_LIST_202312,성산,281
JT_SNS_KWRD_STATS_LIST_202312,가족,260
JT_SNS_KWRD_STATS_LIST_202312,일상,256
JT_SNS_KWRD_STATS_LIST_202312,동쪽,251
JT_SNS_KWRD_STATS_LIST_202312,공항,250
JT_SNS_KWRD_STATS_LIST_202312,여름,245
JT_SNS_KWRD_STATS_LIST_202312,함덕,245
JT_SNS_KWRD_STATS_LIST_202312,근처,243
JT_SNS_KWRD_STATS_LIST_202312,시장,237
JT_SNS_KWRD_STATS_LIST_202312,데이트,231
JT_SNS_KWRD_STATS_LIST_202312,바다,222
JT_SNS_KWRD_STATS_LIST_202312,호텔,222
JT_SNS_KWRD_STATS_LIST_202312,서쪽,220
JT_SNS_KWRD_STATS_LIST_202312,사진,219
JT_SNS_KWRD_STATS_LIST_202312,성산일출봉,216
JT_SNS_KWRD_STATS_LIST_202312,관광,208
JT_SNS_KWRD_STATS_LIST_202312,투어,207
JT_SNS_KWRD_STATS_LIST_202312,관광지,202
JT_SNS_KWRD_STATS_LIST_202312,제주시,202
JT_SNS_KWRD_STATS_LIST_202312,조림,197
JT_SNS_KWRD_STATS_LIST_202312,펜션,195
JT_SNS_KWRD_STATS_LIST_202312,체험,194
JT_SNS_KWRD_STATS_LIST_202312,여행지,190
JT_SNS_KWRD_STATS_LIST_202312,스누피,185
JT_SNS_KWRD_STATS_LIST_202312,협재,180
JT_SNS_KWRD_STATS_LIST_202312,휴가,177
JT_SNS_KWRD_STATS_LIST_202312,아기,177
JT_SNS_KWRD_STATS_LIST_202312,명소,175
JT_SNS_KWRD_STATS_LIST_202312,파크,169
JT_SNS_KWRD_STATS_LIST_202312,지엄,169
JT_SNS_KWRD_STATS_LIST_202312,도로,167
